Sr No,Movie Name,Storyline,,,,,,,,,
6027, 67 Bombs to Enid,Survivors of Marshall Islands nuclear tests relocate to rural America. Their descendants reveal lasting impacts of atomic weapons testing through personal accounts.,,,,,,,,,
6028, Rise and Fall: China's Greatest Explorer (Zheng He),"When China ruled the seas, he was the face of a nation. Master of the seas. A forgotten hero. Nat Geo's own legend retraces the epic journey of Zheng He. The Silk Road by Sea. A photographer's journey. And a warning for all great powers.",,,,,,,,,
6029, Kanni,"Kalyani loses her job and hatches a questionable scheme with friends to marry a Brit for stability, testing bonds and imperiling relationships, ultimately learning true success springs from courage to face inner fears, not risky shortcuts.",,,,,,,,,
6030, Happy Birthday Luci,"A satanic cult leader named Crimson must find and sacrifice six firstborn victims born on June 6, 1996 at 6:06 AM to Satan before a satanic church can be built.",,,,,,,,,
6031, Embassy of the Free Mind,"UNESCO Memory of the World: Explore the Bibliotheca Philosophica Hermetica's new home with 25, 000+ rare books on alchemy, hermetica & mysticism at the Embassy of the Free Mind museum.",,,,,,,,,
6032, Dirty Pape,"After Jason is let go from his long time job, he is left to choose between finding an honest living to make ends meet- or accepting an opportunity that could come with detrimental consequences and a salary he could only dream of.",,,,,,,,,
6034, Lump,"Ralph, a mourning detective, discovers an unwelcome lump and an equally unwelcome partner, Xavier. The investigator contends with Xavier's exuberance as they navigate a partnership between unlikely cases, themselves and a lump.",,,,,,,,,
6035, The Nexus,"Eight disturbingly twisted tales showcase the depths an insidious corporation will sink to prey on desperate people, conjuring nightmarish manifestations of their primal human desires.",,,,,,,,,
6037, Kadin Kafasi,"Beyza, Aylin, Sevil and Betul have been friends for more than 20 years. They spend all their time together. Aylin decides to divorce her husband of seven years due to his intolerable callousness while Betül discovers her longtime boyfriend Suat has been cheating on her.",,,,,,,,,
6038, Ruthie Joins a Death Cult,A lonely young woman tries to make friends by joining a death cult.,,,,,,,,,
6039, Stray Bodies,A journey across Europe to question each person's rights to bodily autonomy.,,,,,,,,,
6040, Konets Slavy,"The sought-after and spoiled actor Slava loses everything at once - contracts, popularity, good relations with his family. However, the protagonist does not give up and, together with his agent, comes up with a dangerous adventure - to bury himself alive in order to resurrect his career and start from scratch.",,,,,,,,,
6041, Le garçon,"Seeing the family photos of an unfamiliar family, we realise that at the center is a boy. Who is this boy? What's his story? A dizzying family investigation, where reality and fiction mingle to the point of confusion.",,,,,,,,,
6042, Emanet,"""Trust"" is the story of auto mechanic Orhan, whose past is full of secrets, and his family, which found each other again, at the expense of protecting a ""trust"" that did not belong to them.",,,,,,,,,
6043, Murdaritaville,"A group of trop-rock fanatics on their way to an impersonator contest start getting killed off by a half-man, half-bird.",,,,,,,,,
6044, Slice of Life: The American Dream,Former Pizza Hut buildings across America now serve new purposes - from an LGBTQ+ church to a karaoke bar to a dispensary - while reflecting both local transformation and the chain's 1958 Kansas origins.,,, In Former Pizza Huts,,,,,,
6045, Unearth,"Amid the race for critical minerals, commercial fishermen and Indigenous leaders confront North America's largest-ever copper mine in Bristol Bay, Alaska, exposing industry recklessness while demonstrating the power of community activism.",,,,,,,,,
6047, Road Kill,"Two strangers find themselves trapped in a car on a fateful night. As secrets unravel and tension builds, the story leads to a chilling climax, leaving viewers on edge, questioning the fate of these individuals in a battle for survival.",,,,,,,,,
6048, Liam Payne: The Price of Fame,"In the world of music, few have experienced the meteoric highs and punishing lows of fame quite like Liam Payne. Known globally as a beloved member of One Direction, Payne captivated fans with his voice and charm, becoming an icon of a generation. Yet, behind the fame and success, a deeper story lingered-one of ambition, struggle, and resilience. Tragically, the singer passed away this year at just 31, leaving fans and the music world in utter disbelief. Payne's journey began with humble dreams of singing on stage, never imagining the whirlwind that awaited. The skyrocketing fame he achieved with One Direction brought him a global audience, but it also introduced pressures and challenges that he could scarcely have anticipated. From packed stadiums to the solitude of hotel rooms, he bore the weight of expectations that few can comprehend. While adored by millions, Payne's personal battles were often overshadowed by his public persona. Fame, while thrilling, came with a price-one that he paid behind closed doors.",,,,,,,,,
6049, Matinee,"Arun owns a property in Bangalore where he invites his friends for a reunion. However, Arun receives an offer for the place but along with his friends, he is trapped in the house.",,,,,,,,,
6050, All the Eyes,"All The Eyes is the story of the lives of children whose geographical determinism has created obstacles for them to achieve their dreams. Children who live in one of the deprived areas of Iran. Kotij. A city of 6,000 people in Balochistan.",,,,,,,,,
6051, Som van Twee,"Henk Opperman, a psychologist coping with the emotional aftermath of losing his wife in a tragic car accident, struggles to connect with his son Renier, who masks his emotions behind anger and denial. During Nicolene's funeral, Henk confesses to leaking the matric math paper to Barberton in 1990. An investigation leads to an ultimatum: retake the exam in Barberton or forfeit academic records. Henk and Renier reconcile as Renier tutors him, joined by Henk's eccentric father and Renier's friends. Tensions rise with Henk's classmates, culminating in a pivotal moment where Henk must choose between reconciling with his son and saving his career.",,,,,,,,,
6052, Die Bloedhonde,"On a family camping trip, Katrien suspects that the beloved local minister might be responsible for an apparent suicide. With only one ally, she throws everything into the battle to prove the church, the community, and her family wrong.",,,,,,,,,
6053, A Soldier for Christmas,"Hannah, a military widow, and her young daughter rediscover the joy of Christmas in a world forever changed, as they fight for healing and love.",,,,,,,,,
6054, One Must Wash Eyes,"One Must Wash Eyes is a timely drama about Sahar, an international student from Iran who struggles to stay in Canada after her visa is compromised when she participates in the Women-Led revolution in Iran.",,,,,,,,,
6055, Mustafa,"The childhood of Mustafa Kemal Atatürk, the founder of the Republic of Turkey",,,,,,,,,
6057, Strangers of My Imagination,"Featuring such talent as Creed Bratton and Richard Riehle, these are stories with which we are all familiar. From first loves and beating the ""bad guy"" - this anthology of shorts will enchant you and leave you asking for more.",,,,,,,,,
6058, Otto by Otto,"Inspired to make an intimate family portrait, Gracie Otto directs this feature-length documentary about her father, Barry Otto, whose career in Australian theatre, film and television has spanned more than 50 years.",,,,,,,,,
6059, Captured,Ramón Cortez fakes his death to escape from a gang of criminal hackers that stole money from a bank.,,,,,,,,,
6060, The Last of Us: Immunity,Fan-made film based on The Last of Us.,,,,,,,,,
6061, Pet Shop Boys Dreamworld: The Greatest Hits Live at the Royal Arena Copenhagen,"The Pet Shop Boys perform hit songs like West End Girls, Suburbia, Opportunities, and It's a Sin live in concert in Copenhagen during their Dreamworld tour. The lavish concert film features many of their classic tracks.",,,,,,,,,
6062, Himalaya,"Cryptozoologist Yuma Sato enters a newly discovered Himalayan ice cave to search for the mythical ""Snow Ghost."" Broadcasting live, his camera reveals shocking finds. Is it an internet hoax or a major scientific breakthrough?",,,,,,,,,
6063, The Promise,"While trapped in her car miles away, Maja must overcome her fears and go to extraordinary lengths to save her unruly nephew Mathias from a ruthless gang that has kidnapped him. Inspired by true events.",,,,,,,,,
6064, Assault in Progress,"Overwhelmed by debt and family problems, a dentist tries to rob a bank office, keeping the Dominican society in suspense for 14 hours.",,,,,,,,,
6065, Pecan Park,"Pecan Park tells the poignant story of two brothers who embark on separate journeys of self discovery, pridefully navigating their mutual jealousies for one another while their deteriorating father struggles to maintain his family.",,,,,,,,,
6066, Helt væk,"A coming-of-age tale about a group of suburban boys whose carefree, hash-fueled days are suddenly shaken by family turmoil and the harsh reality of adulthood closing in.",,,,,,,,,
6067, Kinda Married Like,"Makayla and Devon appear to have the perfect life, until they encounter the notorious 7-Year Itch. As Makayla devises and begins a plan to explore new horizons, Devon reluctantly agrees -- only for it all to go haywire.",,,,,,,,,
6068, Promise I'll Be Fine,A carefree summer in a Slovakian valley is forever changed for 15-year-old Enrique when he uncovers unpleasant news about his mother that force him to question his family's ties and the path ahead.,,,,,,,,,
6069, Sezony,Marcin is an egocentric actor who has to face the unexpected breakdown of a long-term relationship. During three different stage performances fantasy mixes with the prose of the life of a separating couple.,,,,,,,,,
6070, Fin de fiesta,"A wealthy divorcée's life in southern Spain is disrupted when a young Senegalese immigrant seeks shelter in her toolshed, leading to a poignant story that blends humor and vulnerability.",,,,,,,,,
6071, A Most Atrocious Thing,A weekend getaway becomes deadly when bad blood turns a group of friends against each other.,,,,,,,,,
6072, Hopelesss Romantic the Movie,Hopeless Romantic is a romance comedy with a thriller twist about a women in her mid-twenties who is a successful clothing retail entrepreneur named Nevaeh Sinclair.,,,,,,,,,
6073, Meeting Funmi's Parents,"A romantic comedy set in Nigeria and United States about an interracial romance that hits rock-bottom when a just engaged Nigerian Girl returns home with her white fiancee. Her father, being a cultured Yoruba man, does not want an oyibo son-in-law. He does everything he can to break off their engagement.",,,,,,,,,
6074, Team APS,"Kiwi motorcycle team APS conquers the Baja desert after 10 years of preparation, becoming the first non-American champions in 2023 through determination, teamwork, and resilience.",,,,,,,,,
6075, I Am Kevin Harvick,Follows NASCAR champion Kevin Harvick's exhilarating racing career and the iconic athlete's story beyond the track.,,,,,,,,,
6076, Village Rockstars 2,"Dhunu, now in her late teens, still climbs trees, swims, and most importantly, dreams of continuing her childhood life as a guitarist in her rock band. However, life does not unfold as Dhunu wishes. As she faces the bitter and sour moments of life, she stands on the threshold of leaving her once-happy childhood behind.",,,,,,,,,
6077, Every Day,"Maddie, who was raped in high school but not believed, attempts to rebuild her life ten years later.",,,,,,,,,
6078, The Deserving,A depressed mute serial killer tormented in his house by the ghost of his victims. On the morning he's set to kill himself he's visited by a sudden walk-in client in need of a photo shoot.,,,,,,,,,
6079, Kaljiga,"In a small coastal town, where the lives of the residents revolve around the sea, the livelihood of a poor man's family is entirely dependent on fishing. However, their peaceful existence is shattered when a dark shadow of evil, driven by greed and malice, threatens the life of his family.Who shall rise to vanquish the forces of inequity and safeguard the unwavering flame of faith?",,,,,,,,,
6080, A Fantastic Relationship,"After a nasty break up, Brian and Katie have to pretend they're still in a relationship in order to impress a family member at a dinner party.",,,,,,,,,
6081, B4S: Truoc Gio Yeu,"Before they can have sex, three couples must survive a night of unexpected and awkward adventures that force them to re-examine their views on love and intimacy.",,,,,,,,,
6082, Operation Star,"A Greek captain and sergeant, on the run after sabotage attempt against German forces, seek refuge in a village. Hunted by a ruthless German lieutenant's platoon, an unexpected love story unfolds amidst wartime, altering their paths.",,,,,,,,,
6083, House on Rockingham,A young woman takes up a job as a live in housekeeper and slowly learns the owner may be connected to her sisters disappearance.,,,,,,,,,
6084, The Devil's Wasteland,Survivors of a deadly plague roam the North American wasteland in hopes of a future. They encounter a cannibalistic family with a deranged cult like leader. Things take a turn for the worse as the survivors are kidnapped and tortured,,,,,,,,,
6085, The Secret of Pin-Up Island,"An AI-driven, cutting-edge therapy revolutionizes depression treatment for women. Alesia's subconscious embarks on a virtual journey where reality and fantasy intertwine, forcing her to confront past demons to reclaim her mental health.",,,,,,,,,
6086, Inedia,"After a series of mysterious and debilitating allergic reactions to food, a young woman joins a radical community of people who claim to be nourished by light.",,,,,,,,,
6087, Moses,"Troubled wife on Isle of Jersey meets pilot, they become lovers. Flee to Scotland. Making love on beach when lighthouse keeper dies. Mysterious events ensue.",,,,,,,,,
6088, Listy do M,"Follows several separate stories on Christmas, including an irresponsible young man with a pregnant ex-girlfriend, a married couple who always fight during Christmas, a suicidal widower, and a Japanese man looking for his Polish relatives.",,, Pozegnania i powroty,,,,,,
6089, Man Yedyagat Zala,"Yash and Pooja - The teenagers. And the story of their innocent and impatient love. The feelings are just like every teenager can experience at an early age. Full of anxiety, affection, desire, care, restlessness, dreams, and love.",,,,,,,,,
6090, Historias,"Anthology of shorts exploring our shared human experiences - love, fear, hope - which transcend cultures and connect us all, revealing we're more alike than different.",,,,,,,,,
6091, The Story of Pokemon,Pokémon: More than just catching creatures. Uncover the fascinating facts behind the franchise. Join us on a journey to explore the rich history and legacy of the highest-grossing media franchise of all time.,,,,,,,,,
6092, The Worst Love Story Ever,A farce comedy where a poor man rebuilds a broken-down mobile home in hopes to win back the love of his life who shared intimate time with him in it seven years earlier.,,,,,,,,,
6093, Memes & Nightmares,"NBA Twitter king's quest unravels the fleeting nature of online content and human bonds in the digital era, shaping our ephemeral connections.",,,,,,,,,
6094, Surprise 3,David is haunted by Lisa's murder and the looming threat of exposure as he realizes he has nowhere to hide.,,,,,,,,,
6095, Hal Bheru Gamde,"Vikram discovers his family's dark secrets in his father's final letter. Seeking truth and reconciliation, he returns home, determined to confront the past and rebuild broken bonds.",,,,,,,,,
6096, The Quest: Everest,"'THE QUEST: Everest' is an extraordinary quest to deeper understand and climb the most iconic mountain in the world, Mt. Everest, while unveiling the remarkable culture, history and nature of Nepal. >>> This one-of-a-kind documentary begins with a deep exploration into the daily life and spirituality of the mysterious South Asian capital city of Kathmandu, before heading to the Himalayan village of Lukla nestled high up in the majestic Khumbu Valley. And though there are no roads that lead to Lukla, it is the starting point for most Mt. Everest expeditions in Nepal and where we begin our spectacular 9 day trek to Everest Base Camp. >>> Upon arriving and settling in at the base of the most legendary mountain in the world, you will be immersed in unique and captivating stories about Everest and to what it takes to climb + survive for 43 days at 17,500 feet / 5334 meters and above in order to try to reach the daunting 29,032 foot / 8849 meter Summit of Planet Earth. >>> From experiencing Mt. Everest like never before to taking in rarely seen stories about the fascinating country of Nepal, 'THE QUEST: Everest' is a cinematic journey like no other, and one which embodies the incredible human spirit of adventure that lives inside us all.",,,,,,,,,
6098, 4 Faces,"Having served 20 years of a 25 year prison sentence for the murder of his wife, Old man regains his freedom, thanks to an early release. The first thing he wants to do is to meet the estranged members of his family for one last dinner gathering. Old man is keen to make up for the mistakes of his past and approach his new-found freedom with maturity. However, Old man sees that there is bad blood between everyone in his family and, most shocking of all, he learns that the woman he once loved has cheated on him with his closest kin. In utter despair, Old man, now 60, must decide whether to commit another murder and go back to prison, or embrace his religion, take refuge in God and abandon his family for once and for all.",,,,,,,,,
6099, The Unofficial Science of Die Hard,"Chris Ramsey and Paul Chowdhry set out to scientifically assess stunts from the Christmas action film, including rooftop escapes and walking over shattered glass.",,,,,,,,,
6100, Hello It's Me,"After vanishing for three years, Maya Acosta mysteriously resurfaces with a new boyfriend, but his true motives threaten her and her family in this suspenseful tale.",,,,,,,,,
6102, Am Fear Liath,"In the mystical woods, whispers of a Bigfoot-like legend swirl, captivating the imagination of locals. Enter Fred, an ambitious entrepreneur thriving on Bigfoot tourism. When a relentless debt collector threatens to seize Fred's livelihood--the iconic Bigfoot tour van--he faces the battle of his life to save his business and home, preventing him and loyal friend Paddy from the brink of homelessness. Fred's last hope lies in two unexpected allies: the spirited tourist Marty and her adventurous companion Ger. Together, they embark on a thrilling quest, but standing in their way is the cunning cryptozoology expert, Rheinhold, who harbours secrets that could change everything.",,,,,,,,,
6103, Gaarud,"Many seek fulfillment of dreams; others search for life's meaning. Some quests are ordinary, others extraordinary or incomprehensible, with dreamers transcending boundaries.",,,,,,,,,
6104, Valenciana,"Spain, 1990s. Three friends try to find their place in the new country after the dictatorship. Despite their enthusiasm to be part of this new modernity, they are seduced by corruption, putting their integrity to the test.",,,,,,,,,
6105, The Wife That Didnt Know Who She Married,"Searching in the wrong places for love, Tessa finds herself quickly marrying Xavier. In a short amount of time, Tessa finds out everything her newly wedded husband told her was a complete lie. Now she's left to put together pieces of the puzzle to figure out who it is that she really married.",,,,,,,,,
6106, Osaka,A lonely Japanese girl living in London grapples with a profound sense of disconnection. She embarks on a journey of self-discovery determined to find her way out of the metaphorical maze.,,,,,,,,,
6107, Colourrs of Love,"A terrible breakup and depression bring Avee, a young doctor, to Rajat, a renowned psychologist. Will Avee ever find his way back to love and happiness?",,,,,,,,,
6108, Rahasyam Idham Jagath,"Rahasayam Idham Jagath' is an intriguing indie film that delves into the intersection of quantum physics, Indian mythology, and mystery. The film raises curiosity with its promotional material.",,,,,,,,,
6109, The Wash,An enterprising man determined to stay afloat midst financial struggles by opening a racy car wash concept designed to pull in money with the help of his cousin Rell.,,,,,,,,,
6110, Tack,"The Olympian who pioneered Greece's MeToo movement inspires a younger athlete to break her own silence. In a milestone trial, Sofia stands with Amalia, who is seeking justice for the abuse she endured by her coach when she was a child.",,,,,,,,,
6111, Fight Like Hell,"Follows the Stop the Steal movement before and during the 2020 election, depicting events from their perspective leading up to the January 6th Capitol attack without narration or commentary.",,,,,,,,,
6113, The Man You Don't Know,"The story of Donald Trump through intimate interviews with his family, friends, and colleagues, revealing a devoted patriot, a man of faith, and a generous leader who defies the media's portrayal.",,,,,,,,,
6114, All Inclusive,"The film presents the full package of Polish attitudes, vices and characters. An excuse to take a closer look at your compatriots is a large, organized trip to Agadir. The travelers included, among others: a prayerful bride and groom living in pre-wedding chastity, an intellectual philosopher, an incurable optimist and a melancholic with a bored partner, but also a Polish patriot and a discontent who is afraid to touch the hotel cutlery for fear of lack of hygiene on the part of the Moroccan staff. The trip program is full of standard tourist attractions that do not seem to make much of an impression on Polish tourists. The film is built on contrasts, leading to numerous confrontations and even micro-conflicts. Paradoxically, the cultural differences between Polish citizens and the Muslim community are not the strongest ones in the film, which allowed us to avoid simple stereotyping. Most of what happens is within a group of tourists who are extremely diverse in terms of worldview and character. Important questions about spiritual matters, happiness and sadness take place by the pool, over dinner or during a tourist cruise.",,,,,,,,,
6115, Darshini,"A joy ride of three friends turns into mysterious voyage when they encounter a dangerous experiment that shows their tomorrow. Trapped and stuck there, the only option is to face the dark secrets and unravel the puzzling mystery.",,,,,,,,,
6116, Grounded II: Making the Last of Us Part II,"Learn directly from the team at Naughty Dog about what it took to bring the acclaimed sequel The Last of Us Part II to life, with a new behind-the-scenes look at development.",,,,,,,,,
6117, Wishes of the Blue Girl,"In the emptiness of her vacant house, a young woman encounters unsettling occurrences, leaving her bewildered and questioning their origin. What has transpired in her surroundings, and what mysteries lie concealed within her solitude?",,,,,,,,,
6118, Gossip to Die For,"Under the public eye, a troubled detective races to solve a series of high-profile murders that are ""predicted"" when published online.",,,,,,,,,
6119, Triple 7: They Said It Couldn't Be Done,The Triple 7 Expedition is a 168-hour skydiving journey led by a team of former special operators and skydiving veterans. The expedition's goal is to break the record for seven skydives in seven days on seven continents.,,,,,,,,,
6120, Teacher's Pet,"When a dog wants to be a boy after watching Pinocchio, he meets a mad scientist who steals his mind. Now his owner, a lizard, and a parrot have to go into the timelines to give him pizza and save him.",,,,,,,,,
6121, Buenas noches,"A young Brazilian girl travels to Argentina to visit her aunt, but after a misunderstanding and the loss of her belongings, she must kill time until the next morning.",,,,,,,,,
6122, A,"The incredible true story of Amadeo Peter Giannini, the son of Italian immigrants in San Francisco, the man who revolutionized the world of finance by lending money to low-income workers during the worst economic crises of all times. Without Giannini, the world would have never known Bank of America, the Golden Gate Bridge, the Marshall Plan as well as many Hollywood masterpieces such as Charlie Chaplin's ""The Kid"", Frank Capra's ""It Happened One Night"" and Walt Disney's ""Snow White"". This inspirational biopic features rediscovered archive material, exclusive interviews and iconic locations, tracing over a century of American history: from the Gold Rush to the 1906 San Francisco earthquake, living through the Great Depression and World War II.",,,P, Giannini - Bank to the future,,,,,
6123, Gde nashi dengi?,"Local criminals break into a bank vault, stealing what they thought was everything. When a larger sum goes missing, they hunt for hidden millions in their small town.",,,,,,,,,
6125, The 6th,"In The 6th, attorney Marcus A. Coles (Ricky Burchell) uncovers a deadly police corruption ring while defending a falsely accused cop. With his life and career on the line, Marcus races to expose the truth where justice collides with danger",,,,,,,,,
6126, La vierge à l'enfant,"Avesta, a young Kurdish-Yazidi woman and ISIS survivor, arrives in Brussels to take revenge on the man who enslaved her. Torn between seeking justice and raising an unwanted child, she fights to be heard at any cost.",,,,,,,,,
6127, A Holiday for Harmony,"Jaxon takes in niece Harmony after sister's death, hoping to use her trust fund to save his struggling bar. Her estranged father returns seeking custody and the money. Harmony misses singing with her late mother, especially during holidays",,,,,,,,,
6128, Push,"Unsuspecting lives connect and dissect as a high-fashion boutique owners and employees hustle to find their fairytale, breaking the bounds of professional and personal commitments to get what they want, with men as their unsuspecting pawns in 'Push.'",,,,,,,,,
6130, Letuchiy korabl,"The Tsar is having his daughter Zabava marry a charmingly handsome and a handsomely charming Paul, a rich heir and a foreign fancy pants. However, it's a bit of a challenge, since Zabava wants a marriage of love, not of calculation. Her unexpected encounter with sailor Ivan, a simpleton yet an honest and endearing guy, messes up Paul's plans of snatching the crown. Deeply in love with the princess, Ivan enlists help from the residents of an enchanted forest to build a Flying Ship which would then take him and his beloved away. The brave sailor is in for serious confrontation with the sneaky Paul, who's using dark magic to bring his unwanted opponent down. However, true love is going to win this battle: with the evil mastermind punished, Ivan and Zabava step aboard the magic Flying Ship and set sail towards a new common dream of theirs.",,,,,,,,,
6131, Powder Pup,"Shaun a Southern California surfer, his dad's plan to move to mountains of Montana crushes him until he meets a dog who can snowboard. With the help of his canine friend, he is set to make a run for the annual snowboarding championship.",,,,,,,,,
6132, Dandelions,A writer returns to his dilapidated hometown which helped inspire a collection of successful novels. After a night of nostalgic fun he is forced to reckon with the people and places he exploited for profit.,,,,,,,,,
6133, Shark Beach with Anthony Mackie,"Anthony Mackie stars in this documentary in which sharks steal fish from fishing lines. Mackie learns of these cases from locals, but discovers that they indicate larger environmental problems in the Gulf of Mexico.",,,,,,,,,
6134, The Million Dollar Bet,"Three back-to-back marathons in 24 hours, two gambling buddies and a one million dollar bet. What is left to hold on to in life when everything is on the line?",,,,,,,,,
6135, Underground,"Guided by images she came across in a theater, she heads for a town sunk at the bottom of a dammed lake.",,,,,,,,,
6136, Mad Cow Massacre,"A serial killer dressed like a cow is leaving a trail of bodies from town to town. A special team of detectives, led by detective Wayne Carpenter. Has been tacking the Mad Cow and will stop at nothing to catch this killer. What the detectives did wrong was underestimate the killer cow's abilities. The Mad Cow killer is unmatched in strength, determination and the will to kill everyone.",,,,,,,,,
6137, Dead Man,"A man so-called 'figurehead', who makes money out of his name, living as a 'Dead man' after being falsely accused of embezzlement of 100 billion won.",,,,,,,,,
6138, Louder: The Soundtrack of Change,"A celebration of music and rallying cry across generations, genres, anchored by female icons whose songs and activism inspired the fight for equality, empowering all.",,,,,,,,,
6139, Tacoma,Leo and Alejandra attempt to formulate a groundbreaking serum to help their loved ones while battling personal demons that threaten as well as drive their ambition.,,,,,,,,,
6140, Argentina '78,"In the midst of Argentina's bloodiest era, the country took center stage as the host of the football World Cup. The military government, the national team, and even the resistance risked everything for this monumental event.",,,,,,,,,
6141, Fright,The chilling story of a young woman and her struggles with crippling agoraphobia. It's 1937 and eighteen year old Emily lives in constant fear of the outside - and of her mysterious mother.,,,,,,,,,
6142, Savrulan Zaman,"After coming out of a long relationship, Alper is searching for a fresh start but finds himself in a moral conflict following an unexpected incident at work.",,,,,,,,,
6143, Rambut Kafan,"Anwar is a successful and hardworking businessman, Tari's daughter. For almost 3 years, Tari has been taking care of her mother, Mirna. Before Mirna died, Mirna said something that Tari couldn't hear clearly. In a sad incident, Suban, Anwar's younger brother, came and asked for a share of the inheritance from the family house. Tari suspects that her mother is sick and died because Suban blackmailed her because of an inheritance problem. During Tari's investigation into Suban, Tari finds many suspicious things about Suban, his father, and the appearance of a woman named Gendis who is suspicious as a conglomerate woman with a strange appearance and possessing black magic. Will Tari be able to uncover the disaster for her family?",,,,,,,,,
6144, The Journey of Flower,"In order to avoid the resurrection of the demon, the immortal Bai Zihua led the immortal world to try to seal the demon again. He and his disciple, the orphan Hua Qiangu, develop a relationship, but face an even greater world crisis.",,,,,,,,,
6145, Case Files,"Shortly after a number of mysterious and vicious murders, a retro Virus is unleashed that uniquely infects the youth of a highly populated city. Groups of children become infected, deadlocked and highly contagious; resulting in an epidemic. The uninfected attempt to Escape the city from the undead, whilst the Elite Group law enforcement agency, set out in the field to investigate the source of the viral syndicate.",,,,,,,,,
6146, Ajab Raat Ni Gajab Vaat,"YouTuber Kartik is persuaded by friend Nilay to elope with girlfriend, but reaches the wrong address. A different girl accompanies them, leading to complications.",,,,,,,,,
6147, Labirinti,"Francesco is an introverted guy, born in a small village surrounded by nature in the mountains of Calabria. He grows up with Mimmo, his best friend, with whom he shares everything until adolescence. One day he finds a book, which becomes almost a magical object that will change the course of his life. Francesco has a dream and he will find the courage to pursue it against everything and everyone: not only the society around him, that makes him feel trapped in a labyrinth of unwritten psychological and social rules, but also against Mimmo.",,,,,,,,,
6148, Don't Open the Box,A lonely mute girl has a mysterious creature that she keeps inside a box.,,,,,,,,,
6150, Jolly O Gymkhana,"A Tenkasi-based family finds a dead person, and is forced to go on a journey that makes them reach Kodaikanal.",,,,,,,,,
6151, Ghosts of Napa Valley,The tale of abandoned wineries and the ghosts that are rumored to still occupy them.,,,,,,,,,
6152, Arbor Day,Johnny is having trouble balancing his work and his relationship. When his girlfriend breaks up with him he decides it's time to turn all women into trees as a way to help the planet and get revenge.,,,,,,,,,
6153, Parakramam,"Revolves around the life of Lovaraju, a theatre artist and a gully cricketer in a village named Lampakalova.",,,,,,,,,
6154, Deathgrip 2,Epic mountain bike film showcasing elite downhill and freeride athletes across global locations. Which combines advanced production tech for an unforgettable hour of cinematic action.,,,,,,,,,
6156, Spawns,"After a string of tragedies vacates the CEO seat at Banks Media, matriarch Opal Banks returns to appoint a new heir, igniting fierce family rivalries that threaten the empire's foundation.",,,,,,,,,
6157, Christmas Balls,"For Nathalie and Antonin's family, every year, Christmas turns into a nightmare. Convinced that she's cursed, Nathalie makes a radical decision: this year they won't celebrate.",,,,,,,,,
6158," Little, Big, and Far",Karl and his physicist wife explore the vastness of the universe and humanity's existential crisis while reckoning with scientific truth.,,,,,,,,,
6159, The Fall of 2008,"After starting a painting business right before the housing crash, a filmmaker drives over 35,000 miles to track down the people who saw it coming and look back at the responses to the largest financial crisis since the great depression.",,,,,,,,,
6160, The Temp,"When an attorney's trusted secretary goes on maternity leave, he turns to a temp agency for a replacement. Enter Erica, a mysterious and captivating woman whose arrival brings a deadly turn to the attorney and his wife.",,,,,,,,,
6161, Sneg v moyom dvore,"Givi lives in Moscow, and Levan in Tbilisi. The friends had not seen each other for thirty years and found each other on a social network. It would seem that they have nothing in common. Givi is a film director and has family problems. Levan is lonely and lives like a homeless person. Givi is going through changes in his life, while Levan has not changed anything for a long time. But they have something in common - childhood memories. Thanks to communication on a social network, they begin to help each other. Levan opens up to Givi from a new, unexpected side, and Givi gets the opportunity to return to his childhood, to his hometown.",,,,,,,,,
6163, Agniya,"Life does not spoil the wayward stove-maker Agniya - she lives in the Far North in a dilapidated, poorly heated house, fishes in an ice hole and raises her son alone. Seasonal work does not make it possible to save up for new housing, and the local head of administration Boris is in no hurry to resettle people. Having agreed to Boris proposal to build a stove in his hut, Agniya gradually falls in love with him, but in the end uses him to achieve her main goal - to move to a new apartment. And he does it in a very unusual way.",,,,,,,,,
6164, Masinga - The Calling,"African-born, UK-based Interpol inspector Masinga is dispatched to Southern Africa to repatriate a group of Ukrainian teenagers who were sex trafficked by a Russian underworld figure operating in Mozambique. While rescuing these teenagers, Masinga encounters Xia, a young Asian social media influencer whose stance against her country's plundering of Africa's minerals and wildlife make her a target for the nefarious pursuits of the evil Jeremiah Mills. Jeremiah believes taking her down will empower his control over an Asian consortium bidding on the purchase of the Mangala Rare Earth Mine from corrupt government officials.",,,,,,,,,
6165, Love Bites,"A series of vignettes showing how different Vampires around the world live in a post pandemic world, vaping, using social media, trafficking human blood, loving, hating, feeling depressed, alienated, suicidal, some still killing humans.",,,,,,,,,
6166, Lakeview,"A queer comedy about friends gathering for a divorce celebration at a lakeside retreat, exploring their bonds and personal journeys as they deal with life's challenges.",,,,,,,,,
6167, Creep Encounters,"When an unknown alien force threatens a high school, the teachers must team up, to fight back against the invaders, in an attempt to stop an otherworldly parasite from escaping, and taking over the world.",,,,,,,,,
6168, Mars Has Eyes,A biologist doing research on the planet Mars is launched into a horrific predicament when Earth is destroyed by a swarm of asteroids.,,,,,,,,,
6169, It's Not Funny Anymore: Vice to Proud Boys,"Exploration of Gavin McInnes' transition from VICE co-founder to leader of far-right Proud Boys group, told through interviews tracing his radicalization after leaving progressive media empire he helped build.",,,,,,,,,
